,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hobart,-42.8794,147.3294,52.27,93,75,9.22,AU,1651014725
1,Pechenga,69.5259,31.1703,18.43,69,100,24.27,RU,1651014726
2,Rikitea,-23.1203,-134.9692,78.22,69,100,20.49,PF,1651014217
3,Hermanus,-34.4187,19.2345,56.79,77,0,9.22,ZA,1651014646
4,Lavrentiya,65.5833,-171.0,25.86,83,50,3.67,RU,1651014727
5,Bungu,-7.6337,39.0582,67.8,97,100,3.78,TZ,1651014727
6,Busselton,-33.65,115.3333,55.11,89,40,7.07,AU,1651014728
7,Tavda,58.0425,65.2726,49.21,82,100,9.46,RU,1651014728
8,North Bend,43.4065,-124.2243,59.23,79,20,11.5,US,1651014571
9,Beyla,8.6833,-8.6333,75.27,59,100,4.5,GN,1651014728
10,Saskylakh,71.9167,114.0833,9.61,89,99,3.2,RU,1651014729
11,Barrow,71.2906,-156.7887,10.42,79,100,13.8,US,1651014657
12,Kilemary,56.7783,46.8659,48.33,97,100,3.6,RU,1651014729
13,Port Elizabeth,-33.918,25.5701,52.11,87,21,8.77,ZA,1651014729
14,Flin Flon,54.7682,-101.865,35.62,60,0,11.68,CA,1651014730
15,Arraial do Cabo,-22.9661,-42.0278,76.41,89,2,15.28,BR,1651014730
16,Codrington,-38.2667,141.9667,59.88,81,100,7.11,AU,1651014274
17,Vangaindrano,-23.35,47.6,73.42,90,99,13.35,MG,1651014130
18,Anchorage,61.2181,-149.9003,54.61,48,0,9.22,US,1651014472
19,Chik,54.9928,82.4311,29.95,74,9,2.24,RU,1651014730
20,Atuona,-9.8,-139.0333,78.87,76,17,20.54,PF,1651014101
21,Fort Nelson,58.8053,-122.7002,38.48,93,99,5.32,CA,1651014504
22,Tazmalt,36.3868,4.3989,61.57,72,99,5.06,DZ,1651014731
23,New Norfolk,-42.7826,147.0587,51.93,89,100,1.97,AU,1651014731
24,Sabang,5.8933,95.3214,84.09,75,100,10.09,ID,1651014732
25,Leningradskiy,69.3833,178.4167,17.31,84,60,12.06,RU,1651014732
26,Mahébourg,-20.4081,57.7,75.25,80,24,10.47,MU,1651014732
27,Tiksi,71.6872,128.8694,4.59,93,51,0.76,RU,1651014161
28,Cabo San Lucas,22.8909,-109.9124,89.62,55,0,8.7,MX,1651014001
29,Amahai,-3.3333,128.9167,80.76,79,90,1.99,ID,1651014180
30,Thompson,55.7435,-97.8558,36.64,59,6,7.2,CA,1651014545
31,Bluff,-46.6,168.3333,52.81,78,83,8.93,NZ,1651014733
32,Mataura,-46.1927,168.8643,52.48,97,96,2.86,NZ,1651014618
33,Yulara,-25.2406,130.9889,67.14,46,99,6.64,AU,1651014178
34,Tuktoyaktuk,69.4541,-133.0374,28.89,82,100,7.07,CA,1651014733
35,Sijunjung,-0.6876,100.9537,71.71,95,94,1.32,ID,1651014734
36,Ponta Delgada,37.7333,-25.6667,65.5,88,20,9.22,PT,1651014734
37,Aklavik,68.2191,-135.0107,31.15,90,79,6.91,CA,1651014734
38,Wum,6.3833,10.0667,67.26,88,100,3.6,CM,1651014735
39,Bambous Virieux,-20.3428,57.7575,75.22,80,30,10.09,MU,1651014735
40,Cape Town,-33.9258,18.4232,59.92,74,0,11.99,ZA,1651014658
41,Pyshchug,58.8873,45.7134,41.65,93,71,4.63,RU,1651014736
42,Weihe,32.9952,105.3247,57.25,95,75,0.58,CN,1651014736
43,Ennis,52.8436,-8.9864,51.73,71,0,5.75,IE,1651014461
44,Punta Arenas,-53.15,-70.9167,39.11,75,40,8.05,CL,1651014736
45,Ushuaia,-54.8,-68.3,38.86,87,75,11.5,AR,1651014736
46,Vaini,-21.2,-175.2,78.96,65,20,13.8,TO,1651014527
47,Ust'-Omchug,61.15,149.6333,17.33,81,100,6.71,RU,1651014737
48,Chapais,49.7834,-74.8492,29.21,85,100,7.49,CA,1651014071
49,Gemena,3.25,19.7667,68.9,94,99,3.53,CD,1651014737
50,Hong Kong,22.2855,114.1577,82.45,85,4,4.0,HK,1651014522
51,Kapaa,22.0752,-159.319,80.58,81,100,14.97,US,1651014543
52,Padang,-0.9492,100.3543,78.64,85,95,4.34,ID,1651014763
53,East London,-33.0153,27.9116,60.57,79,3,10.94,ZA,1651014654
54,St. George's,12.0564,-61.7485,78.24,82,99,8.08,GD,1651014763
55,Sai Buri,6.7013,101.6168,77.38,87,91,2.44,TH,1651014763
56,Port Blair,11.6667,92.75,80.64,89,75,2.3,IN,1651014430
57,Cherskiy,68.75,161.3,32.32,90,98,5.59,RU,1651014764
58,Mount Isa,-20.7333,139.5,73.17,73,75,8.05,AU,1651014579
59,Salalah,17.0151,54.0924,82.49,74,20,3.44,OM,1651014764
60,Bāli Chak,22.3667,87.55,81.21,72,16,10.36,IN,1651014764
61,Saint-Philippe,-21.3585,55.7679,72.99,83,39,7.99,RE,1651014648
62,Faanui,-16.4833,-151.75,82.58,72,22,18.32,PF,1651014649
63,Hithadhoo,-0.6,73.0833,84.63,72,97,6.91,MV,1651014765
64,Souillac,-20.5167,57.5167,74.48,84,26,9.55,MU,1651014173
65,Upernavik,72.7868,-56.1549,25.57,81,92,5.99,GL,1651014558
66,Albany,42.6001,-73.9662,52.63,89,100,1.99,US,1651014741
67,Budogoshch',59.2816,32.4707,35.94,92,96,6.44,RU,1651014766
68,Bredasdorp,-34.5322,20.0403,54.91,78,1,2.98,ZA,1651014766
69,Ribeira Grande,38.5167,-28.7,63.12,91,61,24.32,PT,1651014766
70,Hilo,19.7297,-155.09,85.28,84,75,14.97,US,1651014766
